"index","s","d","p","q","n","rep","mean","vara","seed","phi","theta"
1,0,0,0,1,340,1,176,0.639106003953717,40,"0","0.99"
2,0,0,0,1,1222,2,-865,0.776356740307132,41,"0","0.99"
3,0,0,0,1,1647,3,-355,1.30032508402021,42,"0","0.99"
4,0,0,0,1,220,4,-267,1.51074772933624,43,"0","0.99"
5,0,0,0,1,183,5,447,6.95486761085075,44,"0","0.99"
6,0,0,0,1,788,1,-14,0.00715135304429341,40,"0","0.98"
7,0,0,0,1,886,2,505,4.27967575979677,41,"0","0.98"
8,0,0,0,1,1469,3,-8,0.0331958760993753,42,"0","0.98"
9,0,0,0,1,20,4,915,8.11792367562298,43,"0","0.98"
10,0,0,0,1,747,5,-297,3.17984101277415,44,"0","0.98"
11,0,0,0,1,445,1,15,0.142039911347255,40,"0","0.97"
12,0,0,0,1,1926,2,101,0.591909711734671,41,"0","0.97"
13,0,0,0,1,1085,3,491,6.03370433636706,42,"0","0.97"
14,0,0,0,1,87,4,255,1.81559591828261,43,"0","0.97"
15,0,0,0,1,728,5,343,7.96300641211402,44,"0","0.97"
16,0,0,0,1,185,1,-868,6.37599760404004,40,"0","0.96"
17,0,0,0,1,325,2,-703,2.52986834259701,41,"0","0.96"
18,0,0,0,1,607,3,335,0.763549500988381,42,"0","0.96"
19,0,0,0,1,1501,4,154,1.5413265884163,43,"0","0.96"
20,0,0,0,1,239,5,-570,4.05767769824911,44,"0","0.96"
21,0,0,0,1,29,1,120,0.317218036610581,40,"0","0.95"
22,0,0,0,1,101,2,570,0.968179983490419,41,"0","0.95"
23,0,0,0,1,231,3,-216,0.791295013919077,42,"0","0.95"
24,0,0,0,1,1076,4,930,1.79546860944683,43,"0","0.95"
25,0,0,0,1,86,5,-725,2.16376283823421,44,"0","0.95"
26,0,0,0,1,202,1,527,11.5270904047253,40,"0","0.94"
27,0,0,0,1,1381,2,956,1.38472317432384,41,"0","0.94"
28,0,0,0,1,417,3,-869,9.25167905383208,42,"0","0.94"
29,0,0,0,1,505,4,-806,2.68869827007766,43,"0","0.94"
30,0,0,0,1,640,5,-792,16.8405579785213,44,"0","0.94"
31,0,0,0,1,1315,1,-492,5.19841795377399,40,"0","0.93"
32,0,0,0,1,996,2,-294,5.07799799584828,41,"0","0.93"
33,0,0,0,1,261,3,-180,0.0564363261853465,42,"0","0.93"
34,0,0,0,1,606,4,-860,1.31887785969014,43,"0","0.93"
35,0,0,0,1,349,5,-693,1.67251081063692,44,"0","0.93"
36,0,0,0,1,1113,1,-362,3.21712407600704,40,"0","0.92"
37,0,0,0,1,523,2,156,3.30830725217917,41,"0","0.92"
38,0,0,0,1,556,3,418,1.36629244588207,42,"0","0.92"
39,0,0,0,1,189,4,-684,1.40158433288586,43,"0","0.92"
40,0,0,0,1,33,5,6,0.102877969258539,44,"0","0.92"
41,0,0,0,1,1074,1,789,7.37488883100931,40,"0","0.91"
42,0,0,0,1,752,2,-365,5.41665346656011,41,"0","0.91"
43,0,0,0,1,420,3,689,13.2936651284455,42,"0","0.91"
44,0,0,0,1,75,4,-317,0.710844728423296,43,"0","0.91"
45,0,0,0,1,583,5,-874,7.35615788922531,44,"0","0.91"
46,0,0,0,1,109,1,78,1.03244775949764,40,"0","0.9"
47,0,0,0,1,1115,2,-241,2.0420563820466,41,"0","0.9"
48,0,0,0,1,41,3,588,7.62557366168144,42,"0","0.9"
49,0,0,0,1,218,4,278,5.7869759402631,43,"0","0.9"
50,0,0,0,1,107,5,-26,0.000813272743767773,44,"0","0.9"
51,0,0,0,1,255,1,691,6.07098413343786,40,"0","0.89"
52,0,0,0,1,544,2,121,0.389620763166173,41,"0","0.89"
53,0,0,0,1,755,3,-563,5.69096106955755,42,"0","0.89"
54,0,0,0,1,107,4,81,1.05740329360251,43,"0","0.89"
55,0,0,0,1,47,5,-146,0.827465112772639,44,"0","0.89"
56,0,0,0,1,153,1,-769,2.69389171594587,40,"0","0.88"
57,0,0,0,1,470,2,-872,3.0839705056204,41,"0","0.88"
58,0,0,0,1,283,3,-17,0.0909842864601781,42,"0","0.88"
59,0,0,0,1,417,4,-516,6.68266237624935,43,"0","0.88"
60,0,0,0,1,1045,5,939,0.19743254567756,44,"0","0.88"
61,0,0,0,1,766,1,364,1.33662069802591,40,"0","0.87"
62,0,0,0,1,327,2,274,0.408964135789027,41,"0","0.87"
63,0,0,0,1,279,3,752,12.5312320329457,42,"0","0.87"
64,0,0,0,1,30,4,-412,2.00207737486077,43,"0","0.87"
65,0,0,0,1,366,5,420,2.83778341108809,44,"0","0.87"
66,0,0,0,1,523,1,47,0.156104501408812,40,"0","0.86"
67,0,0,0,1,158,2,-321,5.72773049449014,41,"0","0.86"
68,0,0,0,1,897,3,-825,0.762999744590276,42,"0","0.86"
69,0,0,0,1,302,4,-63,1.46478685104053,43,"0","0.86"
70,0,0,0,1,75,5,516,9.00581573545185,44,"0","0.86"
71,0,0,0,1,533,1,-626,2.82123267687893,40,"0","0.85"
72,0,0,0,1,817,2,809,8.13478411305941,41,"0","0.85"
73,0,0,0,1,172,3,-150,1.72389687059901,42,"0","0.85"
74,0,0,0,1,421,4,-863,4.04030098102214,43,"0","0.85"
75,0,0,0,1,497,5,-687,11.8757063465601,44,"0","0.85"
76,0,0,0,1,637,1,250,1.50039746354386,40,"0","0.84"
77,0,0,0,1,47,2,-921,5.45686253626927,41,"0","0.84"
78,0,0,0,1,91,3,-302,3.04259103585876,42,"0","0.84"
79,0,0,0,1,31,4,716,6.8676603817634,43,"0","0.84"
80,0,0,0,1,44,5,-156,2.51284265395598,44,"0","0.84"
81,0,0,0,1,1563,1,-7,0.0646521229958962,40,"0","0.83"
82,0,0,0,1,235,2,603,5.62538066728811,41,"0","0.83"
83,0,0,0,1,952,3,-362,1.407111962114,42,"0","0.83"
84,0,0,0,1,72,4,-692,3.86352160169558,43,"0","0.83"
85,0,0,0,1,132,5,499,10.390196543329,44,"0","0.83"
86,0,0,0,1,503,1,-581,6.13916687682135,40,"0","0.82"
87,0,0,0,1,616,2,-164,0.121958378307457,41,"0","0.82"
88,0,0,0,1,1064,3,354,11.5364474734587,42,"0","0.82"
89,0,0,0,1,262,4,-503,4.02726501997976,43,"0","0.82"
90,0,0,0,1,45,5,520,0.531432229208462,44,"0","0.82"
91,0,0,0,1,140,1,-224,1.84798174243302,40,"0","0.81"
92,0,0,0,1,219,2,908,9.31822440144078,41,"0","0.81"
93,0,0,0,1,636,3,-16,0.248794729226958,42,"0","0.81"
94,0,0,0,1,495,4,426,1.87085706175328,43,"0","0.81"
95,0,0,0,1,340,5,891,10.893196348975,44,"0","0.81"
96,0,0,0,1,29,1,339,1.02283419617535,40,"0","0.8"
97,0,0,0,1,101,2,570,0.968179983490419,41,"0","0.8"
98,0,0,0,1,231,3,-216,0.791295013919077,42,"0","0.8"
99,0,0,0,1,1076,4,930,1.79546860944683,43,"0","0.8"
100,0,0,0,1,86,5,-725,2.16376283823421,44,"0","0.8"
101,0,0,0,1,202,1,527,11.5270904047253,40,"0","0.79"
102,0,0,0,1,1381,2,956,1.38472317432384,41,"0","0.79"
103,0,0,0,1,417,3,-869,9.25167905383208,42,"0","0.79"
104,0,0,0,1,505,4,-806,2.68869827007766,43,"0","0.79"
105,0,0,0,1,640,5,-792,16.8405579785213,44,"0","0.79"
106,0,0,0,1,1315,1,-492,5.19841795377399,40,"0","0.78"
107,0,0,0,1,996,2,-294,5.07799799584828,41,"0","0.78"
108,0,0,0,1,261,3,-180,0.0564363261853465,42,"0","0.78"
109,0,0,0,1,606,4,-860,1.31887785969014,43,"0","0.78"
110,0,0,0,1,349,5,-693,1.67251081063692,44,"0","0.78"
111,0,0,0,1,1113,1,-362,3.21712407600704,40,"0","0.77"
112,0,0,0,1,523,2,156,3.30830725217917,41,"0","0.77"
113,0,0,0,1,556,3,418,1.36629244588207,42,"0","0.77"
114,0,0,0,1,189,4,-684,1.40158433288586,43,"0","0.77"
115,0,0,0,1,33,5,6,0.102877969258539,44,"0","0.77"
116,0,0,0,1,1074,1,789,7.37488883100931,40,"0","0.76"
117,0,0,0,1,752,2,-365,5.41665346656011,41,"0","0.76"
118,0,0,0,1,420,3,689,13.2936651284455,42,"0","0.76"
119,0,0,0,1,75,4,-317,0.710844728423296,43,"0","0.76"
120,0,0,0,1,583,5,-874,7.35615788922531,44,"0","0.76"
121,0,0,0,1,109,1,78,1.03244775949764,40,"0","0.75"
122,0,0,0,1,1115,2,-241,2.0420563820466,41,"0","0.75"
123,0,0,0,1,41,3,588,7.62557366168144,42,"0","0.75"
124,0,0,0,1,218,4,278,5.7869759402631,43,"0","0.75"
125,0,0,0,1,107,5,-26,0.000813272743767773,44,"0","0.75"
126,0,0,0,1,255,1,691,6.07098413343786,40,"0","0.74"
127,0,0,0,1,544,2,121,0.389620763166173,41,"0","0.74"
128,0,0,0,1,755,3,-563,5.69096106955755,42,"0","0.74"
129,0,0,0,1,107,4,81,1.05740329360251,43,"0","0.74"
130,0,0,0,1,47,5,-146,0.827465112772639,44,"0","0.74"
131,0,0,0,1,153,1,-769,2.69389171594587,40,"0","0.73"
132,0,0,0,1,470,2,-872,3.0839705056204,41,"0","0.73"
133,0,0,0,1,283,3,-17,0.0909842864601781,42,"0","0.73"
134,0,0,0,1,417,4,-516,6.68266237624935,43,"0","0.73"
135,0,0,0,1,1045,5,939,0.19743254567756,44,"0","0.73"
136,0,0,0,1,766,1,364,1.33662069802591,40,"0","0.72"
137,0,0,0,1,327,2,274,0.408964135789027,41,"0","0.72"
138,0,0,0,1,279,3,752,12.5312320329457,42,"0","0.72"
139,0,0,0,1,30,4,-412,2.00207737486077,43,"0","0.72"
140,0,0,0,1,366,5,420,2.83778341108809,44,"0","0.72"
141,0,0,0,1,523,1,47,0.156104501408812,40,"0","0.71"
142,0,0,0,1,158,2,-321,5.72773049449014,41,"0","0.71"
143,0,0,0,1,897,3,-825,0.762999744590276,42,"0","0.71"
144,0,0,0,1,302,4,-63,1.46478685104053,43,"0","0.71"
145,0,0,0,1,75,5,516,9.00581573545185,44,"0","0.71"
146,0,0,0,1,533,1,-626,2.82123267687893,40,"0","0.7"
147,0,0,0,1,817,2,809,8.13478411305941,41,"0","0.7"
148,0,0,0,1,172,3,-150,1.72389687059901,42,"0","0.7"
149,0,0,0,1,421,4,-863,4.04030098102214,43,"0","0.7"
150,0,0,0,1,497,5,-687,11.8757063465601,44,"0","0.7"
151,0,0,0,1,637,1,250,1.50039746354386,40,"0","0.69"
152,0,0,0,1,47,2,-921,5.45686253626927,41,"0","0.69"
153,0,0,0,1,91,3,-302,3.04259103585876,42,"0","0.69"
154,0,0,0,1,31,4,716,6.8676603817634,43,"0","0.69"
155,0,0,0,1,44,5,-156,2.51284265395598,44,"0","0.69"
156,0,0,0,1,1563,1,-7,0.0646521229958962,40,"0","0.68"
157,0,0,0,1,235,2,603,5.62538066728811,41,"0","0.68"
158,0,0,0,1,952,3,-362,1.407111962114,42,"0","0.68"
159,0,0,0,1,72,4,-692,3.86352160169558,43,"0","0.68"
160,0,0,0,1,132,5,499,10.390196543329,44,"0","0.68"
161,0,0,0,1,503,1,-581,6.13916687682135,40,"0","0.67"
162,0,0,0,1,616,2,-164,0.121958378307457,41,"0","0.67"
163,0,0,0,1,1064,3,354,11.5364474734587,42,"0","0.67"
164,0,0,0,1,262,4,-503,4.02726501997976,43,"0","0.67"
165,0,0,0,1,45,5,520,0.531432229208462,44,"0","0.67"
166,0,0,0,1,140,1,-224,1.84798174243302,40,"0","0.66"
167,0,0,0,1,219,2,908,9.31822440144078,41,"0","0.66"
168,0,0,0,1,636,3,-16,0.248794729226958,42,"0","0.66"
169,0,0,0,1,495,4,426,1.87085706175328,43,"0","0.66"
170,0,0,0,1,340,5,891,10.893196348975,44,"0","0.66"
171,0,0,0,1,29,1,339,1.02283419617535,40,"0","0.65"
172,0,0,0,1,101,2,570,0.968179983490419,41,"0","0.65"
173,0,0,0,1,231,3,-216,0.791295013919077,42,"0","0.65"
174,0,0,0,1,1076,4,930,1.79546860944683,43,"0","0.65"
175,0,0,0,1,86,5,-725,2.16376283823421,44,"0","0.65"
176,0,0,0,1,202,1,527,11.5270904047253,40,"0","0.64"
177,0,0,0,1,1381,2,956,1.38472317432384,41,"0","0.64"
178,0,0,0,1,417,3,-869,9.25167905383208,42,"0","0.64"
179,0,0,0,1,505,4,-806,2.68869827007766,43,"0","0.64"
180,0,0,0,1,640,5,-792,16.8405579785213,44,"0","0.64"
181,0,0,0,1,1315,1,-492,5.19841795377399,40,"0","0.63"
182,0,0,0,1,996,2,-294,5.07799799584828,41,"0","0.63"
183,0,0,0,1,261,3,-180,0.0564363261853465,42,"0","0.63"
184,0,0,0,1,606,4,-860,1.31887785969014,43,"0","0.63"
185,0,0,0,1,349,5,-693,1.67251081063692,44,"0","0.63"
186,0,0,0,1,1113,1,-362,3.21712407600704,40,"0","0.62"
187,0,0,0,1,523,2,156,3.30830725217917,41,"0","0.62"
188,0,0,0,1,556,3,418,1.36629244588207,42,"0","0.62"
189,0,0,0,1,189,4,-684,1.40158433288586,43,"0","0.62"
190,0,0,0,1,33,5,6,0.102877969258539,44,"0","0.62"
191,0,0,0,1,1074,1,789,7.37488883100931,40,"0","0.61"
192,0,0,0,1,752,2,-365,5.41665346656011,41,"0","0.61"
193,0,0,0,1,420,3,689,13.2936651284455,42,"0","0.61"
194,0,0,0,1,75,4,-317,0.710844728423296,43,"0","0.61"
195,0,0,0,1,583,5,-874,7.35615788922531,44,"0","0.61"
196,0,0,0,1,109,1,78,1.03244775949764,40,"0","0.6"
197,0,0,0,1,1115,2,-241,2.0420563820466,41,"0","0.6"
198,0,0,0,1,41,3,588,7.62557366168144,42,"0","0.6"
199,0,0,0,1,218,4,278,5.7869759402631,43,"0","0.6"
200,0,0,0,1,107,5,-26,0.000813272743767773,44,"0","0.6"
201,0,0,0,1,255,1,691,6.07098413343786,40,"0","0.59"
202,0,0,0,1,544,2,121,0.389620763166173,41,"0","0.59"
203,0,0,0,1,755,3,-563,5.69096106955755,42,"0","0.59"
204,0,0,0,1,107,4,81,1.05740329360251,43,"0","0.59"
205,0,0,0,1,47,5,-146,0.827465112772639,44,"0","0.59"
206,0,0,0,1,153,1,-769,2.69389171594587,40,"0","0.58"
207,0,0,0,1,470,2,-872,3.0839705056204,41,"0","0.58"
208,0,0,0,1,283,3,-17,0.0909842864601781,42,"0","0.58"
209,0,0,0,1,417,4,-516,6.68266237624935,43,"0","0.58"
210,0,0,0,1,1045,5,939,0.19743254567756,44,"0","0.58"
