"index","s","d","p","q","n","rep","mean","vara","seed","phi","theta"
1,0,1,0,0,340,1,176,0.639106003953717,1,"0","0"
2,0,1,0,0,241,2,596,7.61357524577275,2,"0","0"
3,0,1,0,0,452,3,-675,5.38865304478389,3,"0","0"
4,0,1,0,0,80,4,-737,4.11903386597799,4,"0","0"
5,0,1,0,0,441,5,856,1.82523319308466,5,"0","0"
6,0,1,0,0,912,6,36,0.312693796251237,6,"0","0"
7,0,1,0,0,1492,7,-287,2.94251981509904,7,"0","0"
8,0,1,0,0,215,8,-441,6.72483756199434,8,"0","0"
9,0,1,0,0,728,9,-290,8.06845762962519,9,"0","0"
10,0,1,0,0,274,10,501,13.4983010091819,10,"0","0"
11,0,1,0,0,1201,11,-542,1.70334235889429,11,"0","0"
12,0,1,0,0,418,12,835,5.04599783902856,12,"0","0"
13,0,1,0,0,112,13,-237,1.76084188234303,13,"0","0"
14,0,1,0,0,1524,14,435,5.86456051593504,14,"0","0"
15,0,1,0,0,1227,15,-399,1.11360600031963,15,"0","0"
16,0,1,0,0,527,16,917,10.2632591692743,16,"0","0"
17,0,1,0,0,128,17,903,7.83994915201602,17,"0","0"
18,0,1,0,0,69,18,-578,1.75777377853146,18,"0","0"
19,0,1,0,0,28,19,335,2.79476070564281,19,"0","0"
20,0,1,0,0,167,20,379,3.55768557286027,20,"0","0"
21,0,1,0,0,1051,21,-73,0.438857901776653,21,"0","0"
22,0,1,0,0,47,22,-858,17.6000615781803,22,"0","0"
23,0,1,0,0,1778,23,213,1.74819858140969,23,"0","0"
24,0,1,0,0,55,24,-356,3.79043394254037,24,"0","0"
25,0,1,0,0,481,25,-621,7.86606622594296,25,"0","0"
26,0,1,0,0,1003,26,-525,1.41424412443791,26,"0","0"
27,0,1,0,0,62,27,-414,6.02800009040616,27,"0","0"
28,0,1,0,0,408,28,230,4.05960402012413,28,"0","0"
29,0,1,0,0,21,29,-309,0.56113167133375,29,"0","0"
30,0,1,0,0,165,30,-677,6.40355480186604,30,"0","0"
31,0,1,0,0,583,31,-76,1.5010481530326,31,"0","0"
32,0,1,0,0,1333,32,954,1.34926379009635,32,"0","0"
33,0,1,0,0,816,33,-115,0.449575576669613,33,"0","0"
34,0,1,0,0,243,34,589,1.59561468158991,34,"0","0"
35,0,1,0,0,25,35,998,6.17659632437135,35,"0","0"
36,0,1,0,0,955,36,307,4.65801716626458,36,"0","0"
37,0,1,0,0,550,37,793,1.67012053687176,37,"0","0"
38,0,1,0,0,1449,38,421,5.9453225753231,38,"0","0"
39,0,1,0,0,70,39,876,2.1327557859378,39,"0","0"
40,0,1,0,0,574,40,-299,3.10709464130806,40,"0","0"
41,0,1,0,0,729,41,625,1.89755291299549,41,"0","0"
42,0,1,0,0,27,42,271,1.04988022048666,42,"0","0"
43,0,1,0,0,580,43,-428,1.29567728051755,43,"0","0"
44,0,1,0,0,240,44,-957,3.40719935128103,44,"0","0"
45,0,1,0,0,29,45,120,0.317218036610581,45,"0","0"
46,0,1,0,0,661,46,-867,4.11138818693897,46,"0","0"
47,0,1,0,0,196,47,-40,0.259969006588165,47,"0","0"
48,0,1,0,0,515,48,-724,4.62423918907629,48,"0","0"
49,0,1,0,0,252,49,864,11.9675363369356,49,"0","0"
50,0,1,0,0,499,50,-886,1.97242766704853,50,"0","0"
51,0,1,0,0,45,51,50,0.54693987605665,51,"0","0"
52,0,1,0,0,1438,52,-118,0.00305083884098331,52,"0","0"
53,0,1,0,0,168,53,-324,1.35527654485339,53,"0","0"
54,0,1,0,0,634,54,-989,7.40405948089666,54,"0","0"
