"index","s","d","p","q","n","rep","mean","vara","seed","phi","theta"
1,1,0,0,4,16,1,97,0.0464481940114242,40,"0","0.631477142440397 -0.163116680352825 0.66489963146125 0.636214660714702"
2,1,0,6,4,16,2,991,4.29435997401621,41,"-0.0422930356855119 0.420200062798738 -0.231741386093996 -0.27541750224019 0.368020216052646 -0.0539407007534091","-0.0851445749108851 -0.544165855934772 -1.50552583788399 -0.296587166400624"
3,1,0,9,10,39,3,176,0.480405825580741,42,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444 -0.241751983543594","0.0358305954484125 -0.0587204627053036 -0.602217274040504 -0.717048284521987 0.655994951553335 0.0046720087642704 0.312382593367245 -0.146576315791035 -0.0765753876645901 0.621487454346731"
4,1,0,4,9,25,4,929,5.79538207977369,43,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743","0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444 -0.241751983543594 0.0358305954484125 -0.0587204627053036 -0.602217274040504 -0.717048284521987"
5,1,0,5,1,32,5,-324,0.342187545867958,44,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112","-0.181070647462236"
6,1,1,7,0,112,1,-587,3.38006719605151,40,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655","0"
7,1,1,8,12,193,2,963,1.7529518114003,41,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444","-0.241751983543594 0.0358305954484125 -0.0587204627053036 -0.602217274040504 -0.717048284521987 0.655994951553335 0.0046720087642704 0.312382593367245 -0.146576315791035 -0.0765753876645901 0.621487454346731 -0.247039886792318"
8,1,1,2,10,28,3,-469,0.251899643226532,42,"-0.075976288978699 0.395648647852772","0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444 -0.241751983543594 0.0358305954484125 -0.0587204627053036 -0.602217274040504"
9,1,1,5,3,67,4,22,0.0866852286317148,43,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112","-0.181070647462236 0.00497148523621655 -0.110808763696444"
10,1,1,11,5,64,5,849,4.54781281720525,44,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444 -0.241751983543594 0.0358305954484125 -0.0587204627053036","-0.602217274040504 -0.717048284521987 0.655994951553335 0.0046720087642704 0.312382593367245"
11,2,0,2,7,100,1,559,9.22838243157455,40,"-0.075976288978699 0.395648647852772","0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444 -0.241751983543594"
12,2,0,8,9,55,2,-931,11.2279145805175,41,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444","-0.241751983543594 0.0358305954484125 -0.0587204627053036 -0.602217274040504 -0.717048284521987 0.655994951553335 0.0046720087642704 0.312382593367245 -0.146576315791035"
13,2,0,2,6,74,3,271,0.91022095336331,42,"-0.075976288978699 0.395648647852772","0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444"
14,2,0,10,3,71,4,-721,8.92096362021966,43,"-0.075976288978699 0.395648647852772 0.132509095242863 0.224658775374743 0.116786991778112 -0.181070647462236 0.00497148523621655 -0.110808763696444 -0.241751983543594 0.0358305954484125","-0.0587204627053036 -0.602217274040504 -0.717048284521987"
